SECCODE,TIME,OPEN,CLOSE,LOW,HIGH,VOLUME,CHANGE
SBERP,100000,53.82,53.88,53.77,53.88,3000,0.111
SBERP,100001,53.88,53.88,53.78,53.89,1000,0
SBERP,100002,53.89,53.89,53.89,53.89,900,0
SBERP,100003,53.92,53.92,53.92,53.92,200,0
SBERP,100004,53.99,53.97,53.79,53.99,9200,-0.037
SBERP,100005,53.87,54,53.87,54,7200,0.241
SBERP,100006,53.99,54,53.89,54.05,14200,0.019
SBERP,100007,54.04,54.05,54.04,54.05,1000,0.019
SBERP,100008,54,54,54,54,1000,0
SBERP,100010,54.05,54.05,54.05,54.05,300,0
SBERP,100011,54.05,54,54,54.05,3600,-0.093
SBERP,100012,53.98,53.97,53.97,53.98,7000,-0.019
SBERP,100014,53.96,54.01,53.96,54.02,3100,0.093
SBERP,100017,54.04,53.98,53.98,54.04,400,-0.111
SBERP,100018,54.04,54,54,54.04,4900,-0.074
SBERP,100021,53.96,53.96,53.96,53.96,200,0
SBERP,100022,53.96,53.96,53.96,53.96,400,0
SBERP,100024,54,54,54,54,1000,0
SBERP,100025,53.95,53.96,53.95,53.96,3000,0.019
SBERP,100026,53.96,53.96,53.95,53.96,1900,0
SBERP,100027,53.96,53.96,53.96,53.96,700,0
SBERP,100028,54,54,54,54,800,0
SBERP,100030,53.96,53.96,53.96,53.96,2400,0
SBERP,100034,53.91,53.91,53.91,53.91,100,0
SBERP,100035,53.87,53.87,53.87,53.87,100,0
SBERP,100036,53.96,53.96,53.96,53.96,1200,0
SBERP,100039,53.89,53.98,53.89,53.98,6700,0.167
SBERP,100040,53.97,53.94,53.9,54.23,43200,-0.056
SBERP,100041,54.01,54.12,54.01,54.13,2100,0.204
SBERP,100042,53.96,53.96,53.96,53.96,200,0
SBERP,100047,54,54,54,54,1000,0
SBERP,100048,54,54,54,54,3800,0
SBERP,100049,54.12,54,54,54.12,5500,-0.222
SBERP,100050,54.01,54.01,54.01,54.01,200,0
SBERP,100051,54.01,54.01,54.01,54.01,100,0
SBERP,100052,54.01,54.01,54.01,54.01,500,0
SBERP,100053,54.01,54,54,54.01,2400,-0.019
SBERP,100054,54,54,54,54,500,0
SBERP,100055,54,54.11,54,54.11,2100,0.204
